Timestamp,Status
1739680223.65,Not Falling
1739680223.77,Not Falling
1739680223.85,Not Falling
1739680223.93,Not Falling
1739680224.03,Not Falling
1739680224.11,Not Falling
1739680224.19,Not Falling
1739680224.29,Not Falling
1739680224.38,Not Falling
1739680224.48,Not Falling
1739680224.57,Not Falling
1739680224.66,Not Falling
1739680224.77,Not Falling
1739680224.86,Not Falling
1739680224.98,Not Falling
1739680225.07,Not Falling
1739680225.16,Not Falling
1739680225.26,Not Falling
1739680225.36,Not Falling
1739680225.44,Not Falling
1739680225.54,Not Falling
1739680225.61,Not Falling
1739680225.69,Not Falling
1739680225.77,Not Falling
1739680225.83,Not Falling
1739680225.92,Not Falling
1739680225.99,Not Falling
1739680226.06,Not Falling
1739680226.12,Not Falling
1739680226.2,Not Falling
1739680226.28,Not Falling
1739680226.38,Not Falling
1739680226.46,Not Falling
1739680226.52,Not Falling
1739680226.6,Not Falling
1739680226.66,Not Falling
1739680226.73,Not Falling
1739680226.78,Not Falling
1739680226.85,Not Falling
1739680226.92,Not Falling
1739680227.0,Not Falling
1739680227.08,Not Falling
1739680227.16,Not Falling
1739680227.24,Not Falling
1739680227.3,Not Falling
1739680227.38,Not Falling
1739680227.45,Not Falling
1739680227.52,Not Falling
1739680227.62,Not Falling
1739680227.7,Not Falling
1739680227.77,Not Falling
1739680227.84,Not Falling
1739680227.9,Not Falling
1739680227.98,Not Falling
1739680228.03,Not Falling
1739680228.11,Not Falling
1739680228.17,Not Falling
1739680228.24,Not Falling
1739680228.31,Not Falling
1739680228.36,Not Falling
1739680228.42,Not Falling
1739680228.47,Not Falling
1739680228.54,Not Falling
1739680228.61,Not Falling
1739680228.68,Not Falling
1739680228.74,Not Falling
1739680228.79,Not Falling
1739680228.84,Not Falling
1739680228.89,Not Falling
1739680228.94,Not Falling
1739680229.0,Not Falling
1739680229.07,Not Falling
1739680229.13,Not Falling
1739680229.19,Not Falling
1739680229.25,Not Falling
1739680229.31,Not Falling
1739680229.36,Not Falling
1739680229.42,Not Falling
1739680229.48,Not Falling
1739680229.53,Not Falling
1739680229.58,Not Falling
1739680229.63,Not Falling
1739680229.69,Not Falling
1739680229.74,Not Falling
1739680229.8,Not Falling
1739680229.86,Not Falling
1739680229.92,Not Falling
1739680229.98,Not Falling
1739680230.04,Not Falling
1739680230.11,Not Falling
1739680230.17,Not Falling
1739680230.22,Not Falling
1739680230.29,Not Falling
1739680230.34,Not Falling
1739680230.43,Not Falling
1739680230.5,Not Falling
1739680230.57,Not Falling
1739680230.65,Not Falling
1739680230.73,Not Falling
1739680230.8,Not Falling
1739680230.88,Not Falling
1739680230.96,Not Falling
1739680231.03,Not Falling
1739680231.11,Not Falling
1739680231.19,Not Falling
1739680231.27,Not Falling
1739680231.34,Not Falling
1739680231.41,Falling
1739680231.48,Falling
1739680231.54,Falling
1739680231.61,Falling
1739680231.68,Falling
1739680231.77,Not Falling
1739680231.85,Not Falling
1739680231.9,Not Falling
1739680231.98,Not Falling
1739680232.06,Not Falling
1739680232.12,Not Falling
1739680232.19,Not Falling
1739680232.27,Not Falling
1739680232.35,Not Falling
1739680232.52,Not Falling
1739680232.59,Not Falling
1739680232.65,Not Falling
1739680232.74,Not Falling
1739680232.81,Not Falling
1739680232.87,Not Falling
1739680232.95,Not Falling
1739680233.01,Not Falling
1739680233.07,Not Falling
1739680233.14,Not Falling
1739680233.22,Not Falling
1739680233.27,Not Falling
1739680233.35,Not Falling
1739680233.42,Not Falling
1739680233.48,Not Falling
1739680233.55,Not Falling
1739680233.63,Not Falling
1739680233.69,Not Falling
1739680233.77,Not Falling
1739680233.83,Not Falling
1739680233.91,Not Falling
1739680233.98,Not Falling
1739680234.05,Not Falling
1739680234.14,Not Falling
1739680234.23,Not Falling
1739680234.29,Not Falling
1739680234.37,Not Falling
1739680234.43,Not Falling
1739680234.49,Not Falling
1739680234.58,Not Falling
1739680234.65,Not Falling
1739680234.71,Not Falling
1739680234.76,Not Falling
1739680234.83,Not Falling
1739680234.91,Not Falling
1739680234.98,Not Falling
1739680235.05,Not Falling
1739680235.11,Not Falling
1739680235.19,Not Falling
1739680235.26,Not Falling
1739680235.34,Not Falling
1739680235.39,Not Falling
1739680235.47,Not Falling
1739680235.53,Not Falling
1739680235.58,Not Falling
1739680235.64,Not Falling
1739680235.69,Not Falling
1739680235.76,Not Falling
1739680235.82,Not Falling
1739680235.88,Not Falling
1739680235.98,Not Falling
1739680236.08,Not Falling
1739680236.17,Not Falling
1739680236.23,Not Falling
1739680236.32,Not Falling
1739680236.41,Not Falling
1739680236.51,Not Falling
1739680236.59,Not Falling
1739680236.69,Falling
1739680236.8,Falling
1739680236.89,Falling
1739680237.02,Falling
1739680237.1,Not Falling
1739680237.17,Not Falling
1739680237.25,Not Falling
1739680237.32,Not Falling
1739680237.4,Not Falling
1739680237.46,Not Falling
1739680237.54,Not Falling
1739680237.61,Not Falling
1739680237.7,Not Falling
1739680237.76,Not Falling
1739680237.82,Not Falling
1739680237.9,Not Falling
1739680237.97,Not Falling
1739680238.03,Not Falling
1739680238.09,Not Falling
1739680238.17,Not Falling
1739680238.25,Not Falling
1739680238.31,Not Falling
1739680238.38,Not Falling
1739680238.47,Not Falling
1739680238.56,Not Falling
1739680238.63,Not Falling
1739680238.69,Not Falling
