Timestamp,HRV,SpO2,Prediction
2025-04-04 17:43:23,42.50,95.77,0
2025-04-04 17:43:24,86.99,98.24,0
2025-04-04 17:43:25,73.42,97.96,0
2025-04-04 17:43:26,96.19,92.36,1
2025-04-04 17:43:27,40.25,92.83,0
2025-04-04 17:43:28,81.11,94.31,0
2025-04-04 17:43:29,54.79,90.94,0
2025-04-04 17:43:30,82.86,99.12,0
2025-04-04 17:43:31,78.75,99.88,0
2025-04-04 17:43:32,89.37,90.08,1
2025-04-04 17:43:33,59.24,89.85,0
2025-04-04 17:43:34,45.86,97.44,0
2025-04-04 17:43:35,91.78,88.04,1
2025-04-04 17:43:36,76.49,91.55,0
2025-04-04 17:43:37,51.66,98.56,0
2025-04-04 17:43:38,64.78,99.21,0
2025-04-04 17:43:39,71.79,88.75,0
2025-04-04 17:43:40,50.87,94.47,0
2025-04-04 17:43:41,44.41,91.33,0
2025-04-04 17:43:42,94.34,91.00,1
2025-04-04 17:43:43,45.54,99.59,0
2025-04-04 17:43:44,76.42,88.86,0
2025-04-04 17:43:45,94.94,85.54,1
2025-04-04 17:43:46,71.49,93.57,0
2025-04-04 17:43:47,89.80,98.24,0
2025-04-04 17:43:48,85.22,96.67,0
2025-04-04 17:43:49,74.12,87.73,0
2025-04-04 17:43:50,80.48,96.60,0
2025-04-04 17:43:51,92.60,87.76,1
2025-04-04 17:43:52,65.47,93.94,0
2025-04-04 17:43:53,63.47,92.22,0
2025-04-04 17:43:54,68.59,87.52,0
2025-04-04 17:43:55,55.48,97.89,0
2025-04-04 17:43:56,72.49,98.75,0
2025-04-04 17:43:57,80.97,95.64,0
2025-04-04 17:43:58,56.98,88.19,0
2025-04-04 17:43:59,77.20,99.21,0
2025-04-04 17:44:00,86.31,95.49,0
2025-04-04 17:44:01,64.51,92.95,0
2025-04-04 17:44:02,63.00,99.35,0
2025-04-04 17:44:03,55.60,95.21,0
2025-04-04 17:44:04,46.42,88.02,0
2025-04-04 17:44:05,90.83,89.30,1
2025-04-04 17:44:06,91.39,86.98,1
2025-04-04 17:44:07,53.56,87.75,0
2025-04-04 17:44:08,59.80,89.29,0
2025-04-04 17:44:09,61.58,96.31,0
2025-04-04 17:44:10,52.15,95.03,0
2025-04-04 17:44:11,52.46,97.12,0
2025-04-04 17:44:12,95.82,98.64,0
2025-04-04 17:44:13,81.25,92.46,0
2025-04-04 17:44:14,49.48,93.89,0
2025-04-04 17:44:15,49.38,90.60,0
2025-04-04 17:44:16,67.97,87.33,0
2025-04-04 17:44:17,62.26,86.15,0
2025-04-04 17:44:18,45.46,94.42,0
2025-04-04 17:44:19,99.34,93.49,1
2025-04-04 17:44:20,56.85,85.08,0
2025-04-04 17:44:21,72.42,89.74,0
2025-04-04 17:44:22,61.77,93.00,0
2025-04-04 17:44:23,95.24,93.53,1
2025-04-04 17:44:24,46.36,89.31,0
2025-04-04 17:44:25,41.30,89.63,0
2025-04-04 17:44:26,91.03,94.47,0
2025-04-04 17:44:27,84.11,99.19,0
2025-04-04 17:44:29,79.87,94.70,0
2025-04-04 17:44:30,96.26,86.85,1
2025-04-04 17:44:31,65.02,90.84,0
2025-04-04 17:44:32,61.57,86.29,0
2025-04-04 17:44:33,91.39,86.32,1
2025-04-04 17:44:34,49.96,90.44,0
2025-04-04 17:44:35,65.26,92.33,0
2025-04-04 17:44:36,40.62,96.37,0
2025-04-04 17:44:37,59.11,87.27,0
2025-04-04 17:44:38,84.02,85.95,1
2025-04-04 17:44:39,60.67,91.87,0
2025-04-04 17:44:40,94.28,98.57,0
2025-04-04 17:44:41,90.10,97.58,0
2025-04-04 17:44:42,57.18,97.90,0
2025-04-04 17:44:43,43.31,95.33,0
2025-04-04 17:44:44,62.58,88.62,0
2025-04-04 17:44:45,49.43,91.70,0
2025-04-04 17:44:46,47.60,87.15,0
2025-04-04 17:44:47,94.42,88.56,1
2025-04-04 17:44:48,87.80,87.80,1
2025-04-04 17:44:49,72.55,99.08,0
2025-04-04 17:44:50,68.83,99.27,0
