Timestamp,Status
1743661942.31,Not Falling
1743661942.47,Not Falling
1743661942.56,Not Falling
1743661942.72,Not Falling
1743661942.83,Not Falling
1743661942.95,Not Falling
1743661943.08,Not Falling
1743661943.21,Not Falling
1743661943.32,Not Falling
1743661943.39,Not Falling
1743661943.47,Not Falling
1743661943.54,Not Falling
1743661943.62,Not Falling
1743661943.71,Not Falling
1743661943.8,Not Falling
1743661943.91,Not Falling
1743661944.03,Not Falling
1743661944.11,Not Falling
1743661944.21,Not Falling
1743661944.29,Not Falling
1743661944.36,Not Falling
1743661944.44,Not Falling
1743661944.51,Not Falling
1743661944.58,Not Falling
1743661944.66,Not Falling
1743661944.76,Not Falling
1743661944.83,Not Falling
1743661944.9,Not Falling
1743661944.98,Not Falling
1743661945.05,Not Falling
1743661945.12,Not Falling
1743661945.2,Not Falling
1743661945.27,Not Falling
1743661945.33,Not Falling
1743661945.41,Not Falling
1743661945.46,Not Falling
1743661945.53,Not Falling
1743661945.59,Not Falling
1743661945.65,Not Falling
1743661945.72,Not Falling
1743661945.77,Not Falling
1743661945.83,Not Falling
1743661945.87,Not Falling
1743661945.94,Not Falling
1743661945.99,Not Falling
1743661946.06,Not Falling
1743661946.11,Not Falling
1743661946.18,Not Falling
1743661946.25,Not Falling
1743661946.3,Not Falling
1743661946.36,Not Falling
1743661946.42,Not Falling
1743661946.47,Not Falling
1743661946.54,Not Falling
1743661946.6,Not Falling
1743661946.67,Not Falling
1743661946.73,Not Falling
1743661946.79,Not Falling
1743661947.04,Not Falling
1743661947.11,Not Falling
1743661947.19,Not Falling
1743661947.26,Not Falling
1743661947.33,Not Falling
1743661947.39,Not Falling
1743661947.46,Not Falling
1743661947.53,Not Falling
1743661947.61,Not Falling
1743661947.69,Not Falling
1743661947.77,Not Falling
1743661947.84,Not Falling
1743661947.91,Not Falling
1743661947.99,Not Falling
1743661948.07,Not Falling
1743661948.14,Not Falling
1743661948.21,Not Falling
1743661948.27,Not Falling
1743661948.33,Not Falling
1743661948.4,Not Falling
1743661948.46,Not Falling
1743661948.53,Not Falling
1743661948.6,Not Falling
1743661948.67,Not Falling
1743661948.72,Not Falling
1743661948.79,Not Falling
1743661948.87,Not Falling
1743661948.92,Not Falling
1743661948.98,Not Falling
1743661949.05,Not Falling
1743661949.11,Not Falling
1743661949.16,Not Falling
1743661949.22,Not Falling
1743661949.29,Not Falling
1743661949.35,Not Falling
1743661949.42,Not Falling
1743661949.49,Not Falling
1743661949.55,Not Falling
1743661949.62,Not Falling
1743661949.67,Not Falling
1743661949.71,Not Falling
1743661949.77,Not Falling
1743661949.82,Not Falling
1743661949.88,Not Falling
1743661949.93,Not Falling
1743661949.98,Not Falling
1743661950.04,Not Falling
1743661950.09,Not Falling
1743661950.14,Not Falling
1743661950.19,Not Falling
1743661950.25,Not Falling
1743661950.29,Not Falling
1743661950.36,Not Falling
1743661950.42,Not Falling
1743661950.49,Not Falling
1743661950.54,Not Falling
1743661950.59,Not Falling
1743661950.65,Not Falling
1743661950.71,Not Falling
1743661950.78,Not Falling
1743661950.85,Not Falling
1743661950.91,Not Falling
1743661950.97,Not Falling
1743661951.03,Falling
1743661951.2,Falling
1743661951.27,Falling
1743661951.34,Falling
1743661951.4,Falling
1743661951.46,Falling
1743661951.52,Falling
1743661951.58,Falling
1743661951.64,Falling
1743661951.71,Falling
1743661951.77,Falling
1743661951.84,Falling
1743661951.91,Not Falling
1743661952.07,Not Falling
1743661952.14,Not Falling
1743661952.2,Not Falling
1743661952.27,Not Falling
1743661952.34,Not Falling
1743661952.39,Not Falling
1743661952.45,Not Falling
1743661952.51,Not Falling
1743661952.57,Not Falling
1743661952.64,Not Falling
1743661952.7,Not Falling
1743661952.76,Not Falling
1743661952.82,Not Falling
1743661952.88,Not Falling
1743661952.94,Not Falling
1743661953.0,Not Falling
1743661953.05,Not Falling
1743661953.11,Not Falling
1743661953.17,Not Falling
1743661953.22,Not Falling
1743661953.28,Not Falling
1743661953.35,Not Falling
1743661953.41,Not Falling
1743661953.46,Not Falling
1743661953.51,Not Falling
1743661953.57,Not Falling
1743661953.65,Not Falling
1743661953.73,Not Falling
1743661953.8,Not Falling
1743661953.88,Not Falling
1743661953.96,Falling
1743661954.03,Falling
1743661954.11,Not Falling
1743661954.29,Not Falling
1743661954.37,Not Falling
1743661954.44,Falling
1743661954.53,Falling
1743661954.61,Not Falling
1743661954.78,Not Falling
1743661954.85,Not Falling
1743661954.92,Not Falling
1743661955.0,Not Falling
1743661955.09,Not Falling
1743661955.26,Not Falling
1743661955.36,Not Falling
1743661955.47,Not Falling
1743661955.57,Not Falling
1743661955.68,Not Falling
1743661955.78,Not Falling
1743661955.85,Not Falling
1743661955.92,Not Falling
1743661955.99,Not Falling
1743661956.06,Not Falling
1743661956.13,Not Falling
1743661956.23,Not Falling
1743661956.31,Not Falling
1743661956.38,Not Falling
1743661956.48,Not Falling
1743661956.56,Not Falling
1743661956.66,Not Falling
1743661956.75,Not Falling
1743661956.83,Not Falling
1743661956.89,Not Falling
1743661956.95,Not Falling
1743661957.03,Not Falling
1743661957.09,Not Falling
1743661957.15,Not Falling
